t,x1_x2_x3_1,x1_x2_x3_2,x1_x2_x3_3,xhat1_xhat2_xhat3_1,xhat1_xhat2_xhat3_2,xhat1_xhat2_xhat3_3,u
2.82,-0.00709070994915581,-0.00160404001567535,0.00269974630588612,-0.00709070995363386,-0.00160404031873376,0.00269974620686644,0.00575944447678076
2.83,-0.00692189828711383,-0.00157704255261649,0.00269826248728156,-0.0069218982911491,-0.00157704282567703,0.00269826239805802,0.00541531396569536
2.84,-0.00675647769649874,-0.00155005992774368,0.00269389215101336,-0.00675647770013496,-0.0015500601737724,0.00269389207061794,0.00508746382475045
2.85,-0.00659440922105863,-0.00152312100623354,0.00268682666919586,-0.00659440922433521,-0.0015231212279036,0.00268682659675605,0.00477521224910516
2.86,-0.0064356527699455,-0.00149625273954159,0.00267724810487028,-0.00643565277289797,-0.0014962529392621,0.00267724803959972,0.00447790338129577
2.87,-0.00628016723349789,-0.00146948025849288,0.00266532960284371,-0.00628016723615828,-0.00146948043843499,0.00266532954403365,0.0041949064251419
2.88,-0.00612791059279949,-0.00144282696246445,0.00265123576589683,-0.00612791059519666,-0.00144282712458477,0.00265123571290852,0.00392561478494594
2.89,-0.00597884002328454,-0.00141631460480548,0.00263512301683803,-0.00597884002544449,-0.00141631475086731,0.00263512296909578,0.00366944522955834
2.9,-0.00583291199265046,-0.0013899633746371,0.00261713994686913,-0.00583291199459666,-0.00138996350622947,0.00261713990385411,0.00342583708086592
2.91,-0.00569008235332876,-0.00136379197516841,0.00259742765071635,-0.00569008235508232,-0.00136379209372328,0.002597427611961,0.003194251426249
2.92,-0.00555030642975503,-0.00133781769866124,0.00257612004896831,-0.005550306431335,-0.00133781780546904,0.00257612001405123,0.00297417035454303
2.93,-0.00541353910067024,-0.00131205649817156,0.00255334419805083,-0.0054135391020938,-0.0013120565943951,0.00255334416659228,0.00276509621503114
2.94,-0.00527973487667633,-0.00128652305619105,0.00252922058825721,-0.00527973487795893,-0.00128652314287818,0.00252922055991497,0.00256655089899023
2.95,-0.00514884797326023,-0.00126123085030848,0.00250386343024072,-0.00514884797441582,-0.00126123092840342,0.0025038634047064,0.00237807514330441
2.96,-0.00502083237949262,-0.00123619221600607,0.00247738093036518,-0.00502083238053376,-0.00123619228635966,0.00247738090736088,0.00219922785565992
2.97,-0.00489564192259911,-0.00121141840670242,0.00244987555529801,-0.00489564192353714,-0.00121141847008132,0.00244987553457328,0.00202958546083125
2.98,-0.00477323032859415,-0.00118691965114944,0.00242144428621929,-0.00477323032943925,-0.00118691970824447,0.00242144426754847,0.00186874126756912
2.99,-0.00465355127916007,-0.00116270520828725,0.0023921788630098,-0.00465355127992145,-0.00116270525972088,0.00239217884618952,0.00171630485559797
3,-0.00453655846494678,-0.00113878341965715,0.00236216601876994,-0.00453655846563272,-0.00113878346599025,0.00236216600361697,0.00157190148223703
3.01,-0.00442220563546014,-0.00111516175946945,0.00233148770501147,-0.00442220563607811,-0.00111516180120737,0.00233148769136068,0.00143517150815542
3.02,-0.00431044664570082,-0.00109184688241933,0.00230022130785352,-0.00431044664625755,-0.00109184692001742,0.00230022129555614,0.00130576984177967
3.03,-0.00420123549970827,-0.0010688446693408,0.00226843985554439,-0.00420123550020982,-0.00106884470320932,0.00226843984446636,0.0011833654018714
3.04,-0.00409452639115866,-0.00104616027078536,0.00223621221762085,-0.00409452639161049,-0.00104616030129394,0.00223621220764136,0.00106764059780221
3.05,-0.00399027374115928,-0.00102379814860915,0.00220360329600695,-0.00399027374156632,-0.00102379817609084,0.00220360328701718,0.000958290827053251
3.06,-0.00388843223337602,-0.00100176211564908,0.00217067420834523,-0.00388843223374271,-0.00100176214040394,0.0021706742002471,0.000855023989473996
3.07,-0.00378895684662505,-0.000980055373565625,0.00213748246384354,-0.00378895684695538,-0.000980055395863999,0.00213748245654869,0.000757560017843608
3.08,-0.00369180288505412,-0.000958680548927189,0.00210408213191223,-0.00369180288535169,-0.000958680569012643,0.00210408212534105,0.000665630424280108
3.09,-0.00359692600603391,-0.000937639727608067,0.00207052400385736,-0.00359692600630197,-0.000937639745700039,0.00207052399793812,0.000578977862052231
3.1,-0.00350428224587466,-0.000916934487569493,0.00203685574788715,-0.00350428224611613,-0.00091693450386568,0.00203685574255522,0.000497355702356367
3.11,-0.00341382804347829,-0.000896565930090622,0.00200312205768045,-0.00341382804369582,-0.000896565944769131,0.00200312205287761,0.000420527625626237
3.12,-0.00332552026203192,-0.000876534709513817,0.0019693647947581,-0.00332552026222787,-0.000876534722735108,0.00196936479043189,0.000348267226952862
3.13,-0.0032393162088437,-0.000856841061566236,0.00193562312488977,-0.00323931620902021,-0.000856841073474863,0.00193562312099292,0.000280357635198651
3.14,-0.00315517365341793,-0.000837484830317339,0.00190193364876153,-0.00315517365357692,-0.00083748484104353,0.00190193364525148,0.000216591145398907
3.15,-0.00307305084386196,-0.000818465493829723,0.00186833052712156,-0.00307305084400517,-0.000818465503490799,0.00186833052395993,0.000156768864050662
3.16,-0.0029929065217135,-0.000799782188558508,0.00183484560061426,-0.00299290652184251,-0.000799782197260155,0.00183484559776649,0.000100700366899013
3.17,-0.00291469993527309,-0.000781433732552365,0.00180150850450593,-0.00291469993538929,-0.000781433740389795,0.0018015085019409,4.82033688374277e-05
3.18,-0.00283839085152257,-0.000763418647507306,0.0017683467784982,-0.00283839085162724,-0.000763418654566287,0.00176834677618785,-8.96594451189892e-07
3.19,-0.00276393956670714,-0.000745735179722324,0.00173538597181856,-0.00276393956680141,-0.000745735186080121,0.00173538596973763,-4.67664734790044e-05
